PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
10.9848774131999,2.533623477012316,1.6266490331038597,-2.0325716733980768,-0.33311724884811683,3.3777831332700003,1.3648157639458474,-1.0168913307553176,0.9098499338118823,-0.5617458042237203,0.26777908032317155,0.21520506007567683
6.200967136807133,-1.5854762273860443,1.6829647388923743,-2.2956695910186444,-0.3046673188620638,2.4554311039707266,-1.4224528771851968,0.33736401735024923,-0.3525285155784916,-1.427592725283286,0.9259857479049473,-0.9094299983933486
2.513385743183108,-1.0761191927085147,-1.9746663229994237,2.108013916727661,0.5385795108824138,-3.313885274495357,-0.8027636540768092,-0.2772564874117111,0.09696808327647648,-0.9245645837411476,-0.4014629345697424,-0.6587699250290829
-4.916192952462866,-4.352019240596862,0.6348442401779358,-2.192835217848073,-1.3648195050795835,1.0690338718201413,-0.6308612794339945,1.6193306927172846,-0.209059095215047,0.6808142951281873,-0.07377225446954849,1.7796982410389788
-5.540934028075923,-0.30124771011509865,-3.5016496481978505,5.315723627447634,0.33690140616965625,4.447751385386,-1.3514113426495113,0.30843942457848683,0.5365319152493739,0.584686904976689,2.112583526271846,0.6532226847185234
-2.8082802796994004,-2.3291136734513778,-2.7733230731059533,2.119352578660766,1.068427937362206,-0.5383986911031984,-1.663519462151865,0.0636517436580038,0.24580373946808784,-1.0148570603006979,-0.15373456862734117,0.27941031231009594
4.593271281168845,0.08083668609500995,-0.4062714784676638,-1.325713300854339,-0.8473497606107895,1.0759641323988123,0.2992399451309069,1.8313387984795673,-1.0196656546989267,0.5818910177246353,0.16082840192940556,-0.291968636845964
-5.040403050824075,-3.900122925282207,-0.7727398893160767,-0.9265109272691631,-0.5965292000522578,-0.5966199608961807,0.27554407592474234,0.7986645126450921,0.4007453403351579,-0.8765495258887921,0.5923069577510104,0.47241616978384454
0.13958458721208963,-1.2391135195026255,-2.913624823028708,4.87165558579248,2.2463043991925082,-0.08732763302887589,-1.7195881753388196,1.186086098036499,0.24035971110541376,1.2337046385315389,-1.240571342109328,-1.5324481192841206
-6.484297583635805,-0.10761445600881572,-1.9681545380612508,1.193416059442919,0.03278275268292063,1.095709600988753,0.6332624469183911,-0.4420043374042432,-0.5708614428764642,-0.2909704936823936,-0.13397541109241887,-0.24732304502164135
-3.4632527685655234,-2.0675104165607388,-1.7926039536849676,1.760234902592272,-0.08756214533410506,-0.8207699592044592,-0.6857020341987574,0.0838453864932486,2.169703971598827,0.2941206345412354,0.7100438135902746,-0.44816717115181726
-6.665027754134344,9.353470684842074,0.021398416672772407,-0.11906959347270449,-3.3009920143463596,-2.4279396342780384,0.09895716107511197,0.5244748040329696,-0.24010461901619928,-1.5139079842701748,1.409030311087118,0.019489937807197644
-4.486476418606415,-1.3136224258446205,-3.09886913924229,3.8048374894894588,0.23369508355327975,1.475475756657761,-0.667050809997113,0.1538924603609031,1.9017847980847944,0.10069576003738288,0.4219048878659727,1.5125403573390297
-6.997152702150013,-1.372545418766441,-0.3541893561915725,-0.5515050588955228,-0.22376589545643993,1.6149675337247555,3.869296266933375,-0.3720437685248722,1.15818525238482,-0.013158883886017126,1.7204909926073024,-1.627555925430638
-0.41557417268387314,-5.101680178812669,1.9970724283847172,0.975551406222204,1.903614399419388,0.04791046192450276,-2.917517157759132,2.7252425427606983,1.6107794195358671,2.5905754647221175,0.35557735831437537,-1.0526590779163443
2.3655932729764304,-2.280068097262961,0.6317166032175078,0.2158830123391693,1.0401484028456427,-1.2665146689823055,0.30429872761053833,1.1793473988605279,-0.5369858498778439,0.4336687160112835,0.8327889293920475,-0.7906198780085
3.817629591874381,-1.0800067742383712,1.6474142213033824,-0.4966735693861359,0.760690631325661,-0.9450038869486315,0.1477964032555793,1.0633072955548406,-1.3299125756431054,0.7073860351973207,1.2500873771695864,0.48578398815200813
0.798076909561899,14.72497359982012,-2.9604234711187205,-0.5106154525280237,-4.687824739417897,-1.6627851130500453,-5.143768986980463,0.9219091526859939,2.0440903190233484,-0.8801940360198485,0.08437576989512713,0.2216292173129132
6.040885075607033,-2.396078987728744,-0.9011450406906276,0.18096319258420895,0.6151838726941559,1.4021147441755644,-0.1726730316308359,-0.12867997441598014,1.444743161593326,-1.6239323325054082,-0.2347305023628393,-2.991809996075115
0.48366582517964957,1.5248205553417569,-2.090139702397594,2.6233913076503375,2.818932351331483,-3.3364558851734882,0.7362760572277036,-0.23287930631264372,0.8376969102117026,-0.7732320902717345,-0.8598222293467298,-0.7501979913600162
6.0503580673286965,-0.26779182756849496,-0.2748484432718419,2.4229484325192643,2.3347886579976054,-2.0920815468804177,1.0537064427406677,0.24629609164171162,0.7424045142421569,-0.1259179576533338,-0.8680499481508014,-0.4192969751859117
-12.636724423711023,27.71114353694223,-39.65068780662185,-55.366426036679044,70.14555452660147,1.5446232980109098,-13.83232525296263,-1.0544672679281701,1.0467636603132735,3.605779843642914,2.467548725383999,6.159416224829151
0.6149248107675568,6.747268531613927,-0.3806541741557759,4.634724140928598,0.5957368150782688,-3.0275428064228005,-0.5604168366654246,-2.2788501863929693,-3.611208128072917,-1.4461600979432117,0.7584353986655927,0.6231953392053484
0.8230592805094972,-1.4054486419510777,-2.8425318274910074,2.1720242009362196,-0.32278678664035776,-1.6253911167431287,-0.5867999208482858,0.05864522566076494,0.009057743347613842,2.4541294639407796,-1.146406556864077,-0.08303958508966991
1.937794833349544,-2.397597971389323,-0.2187860296778506,0.14363049558758784,0.10612682696138458,-2.4824745429272386,-0.09516164140520833,-1.442268234833236,-0.9220212318810722,-1.078540998515743,1.5453365612724088,-1.454934177313628
