PC1,PC2,PC3,PC4,PC5,PC6,PC7
10.9848774131999,2.533623477012316,1.6266490331038597,-2.0325716733980768,-0.33311724884811683,3.3777831332700003,1.3648157639458474
6.200967136807133,-1.5854762273860443,1.6829647388923743,-2.2956695910186444,-0.3046673188620638,2.4554311039707266,-1.4224528771851968
2.513385743183108,-1.0761191927085147,-1.9746663229994237,2.108013916727661,0.5385795108824138,-3.313885274495357,-0.8027636540768092
-4.916192952462866,-4.352019240596862,0.6348442401779358,-2.192835217848073,-1.3648195050795835,1.0690338718201413,-0.6308612794339945
-5.540934028075923,-0.30124771011509865,-3.5016496481978505,5.315723627447634,0.33690140616965625,4.447751385386,-1.3514113426495113
-2.8082802796994004,-2.3291136734513778,-2.7733230731059533,2.119352578660766,1.068427937362206,-0.5383986911031984,-1.663519462151865
4.593271281168845,0.08083668609500995,-0.4062714784676638,-1.325713300854339,-0.8473497606107895,1.0759641323988123,0.2992399451309069
-5.040403050824075,-3.900122925282207,-0.7727398893160767,-0.9265109272691631,-0.5965292000522578,-0.5966199608961807,0.27554407592474234
0.13958458721208963,-1.2391135195026255,-2.913624823028708,4.87165558579248,2.2463043991925082,-0.08732763302887589,-1.7195881753388196
-6.484297583635805,-0.10761445600881572,-1.9681545380612508,1.193416059442919,0.03278275268292063,1.095709600988753,0.6332624469183911
-3.4632527685655234,-2.0675104165607388,-1.7926039536849676,1.760234902592272,-0.08756214533410506,-0.8207699592044592,-0.6857020341987574
-6.665027754134344,9.353470684842074,0.021398416672772407,-0.11906959347270449,-3.3009920143463596,-2.4279396342780384,0.09895716107511197
-4.486476418606415,-1.3136224258446205,-3.09886913924229,3.8048374894894588,0.23369508355327975,1.475475756657761,-0.667050809997113
-6.997152702150013,-1.372545418766441,-0.3541893561915725,-0.5515050588955228,-0.22376589545643993,1.6149675337247555,3.869296266933375
-0.41557417268387314,-5.101680178812669,1.9970724283847172,0.975551406222204,1.903614399419388,0.04791046192450276,-2.917517157759132
2.3655932729764304,-2.280068097262961,0.6317166032175078,0.2158830123391693,1.0401484028456427,-1.2665146689823055,0.30429872761053833
3.817629591874381,-1.0800067742383712,1.6474142213033824,-0.4966735693861359,0.760690631325661,-0.9450038869486315,0.1477964032555793
0.798076909561899,14.72497359982012,-2.9604234711187205,-0.5106154525280237,-4.687824739417897,-1.6627851130500453,-5.143768986980463
6.040885075607033,-2.396078987728744,-0.9011450406906276,0.18096319258420895,0.6151838726941559,1.4021147441755644,-0.1726730316308359
0.48366582517964957,1.5248205553417569,-2.090139702397594,2.6233913076503375,2.818932351331483,-3.3364558851734882,0.7362760572277036
6.0503580673286965,-0.26779182756849496,-0.2748484432718419,2.4229484325192643,2.3347886579976054,-2.0920815468804177,1.0537064427406677
-12.636724423711023,27.71114353694223,-39.65068780662185,-55.366426036679044,70.14555452660147,1.5446232980109098,-13.83232525296263
0.6149248107675568,6.747268531613927,-0.3806541741557759,4.634724140928598,0.5957368150782688,-3.0275428064228005,-0.5604168366654246
0.8230592805094972,-1.4054486419510777,-2.8425318274910074,2.1720242009362196,-0.32278678664035776,-1.6253911167431287,-0.5867999208482858
1.937794833349544,-2.397597971389323,-0.2187860296778506,0.14363049558758784,0.10612682696138458,-2.4824745429272386,-0.09516164140520833
-0.6551095547019109,-3.2956238278150773,0.37132751581116524,1.8147482845644611,0.9849272644789843,-2.761381928609269,-2.3119285949362056
5.623563674533728,-2.7307018906639917,-1.2696904657009822,-1.6405065984271294,-0.8198680081407941,-1.3301648822975645,0.17951932622723107
-2.351712028882937,3.3090080260501016,-2.3872680107830346,1.2692395400471443,-1.3851966829154123,-2.7742076474614494,-0.359491662135073
-2.9107206535720267,-1.3290867599704066,0.7603746767714631,1.5452630190874126,0.36976653431928524,-0.5976534927633217,-2.102318348833285
-6.141093034471396,-0.9681963374285525,1.5056913057871437,-0.10337855334036947,0.5195244249499918,-0.5863348093177366,4.282683275037149
-6.996251770419877,-1.85805757570604,3.8939135275639076,-2.569003986764103,-0.6705960625835392,3.8078519481331976,1.4716101811779772
-8.029369736894434,10.39633169414151,9.853435950623508,-0.09618700069215089,2.246519337891173,3.102830510969439,-1.96464040569326
-3.5759839550257086,-3.6691107695081557,0.4490942244515483,-2.5745149419971907,-1.9046861535305064,1.690415608457512,-1.972728885903962
2.7381733292557056,-2.064305114128991,1.4646589278072673,1.4843555489844766,1.9516854974017508,0.7332535933001161,0.2589873623380158
0.22552998349003586,-3.2046599980568655,2.3309099031028984,-0.16275781415341958,1.776523180816013,-1.287889150353853,0.14850576838426707
-2.640151630202693,0.10902881719008402,1.2495882021503535,0.1628149891331455,-0.799571584761565,-1.337025746876216,-1.1693661987553883
-8.264848975386986,-2.3313005875381108,0.3130458363625327,-1.1668822443135765,-1.2328982200826155,0.24063761330077899,3.538002128402146
2.855242965500919,3.789916412661216,4.523336844714163,0.9790060573274442,1.8245585900467016,0.949718123087301,2.290729355462164
-8.997104156964458,-0.03275009532377881,1.2789382136781025,-0.14440101390354845,0.08860769766281461,2.0422504634285588,5.545705934416709
8.791848098383616,1.6499078419682016,-2.4178092977576515,-3.3334807570812988,-3.66164393904294,-1.057206425532468,0.6954612008254066
-3.1404377082906265,-0.6027804121362691,0.505830799318816,0.7942530544533168,1.0938157195896983,-0.6723356444113558,-1.0763788693877026
-3.93718517533492,-4.50583620990532,1.7360398445459184,-2.9837988295268785,-0.9117244673671104,0.5101251563991958,-0.4335782727913865
-9.519843350733705,0.6242697845456945,0.022940546211793835,-1.6922376863596729,-0.9021206960402712,0.22138699879717877,5.747233913207174
-4.670420935672902,-1.2373371010157153,2.0539979637613635,-1.5911278666966815,0.45106785114637593,1.664240237138744,3.4088532357641785
-4.920399314177051,-3.978905326203003,0.10729337322697091,-1.8729330059755953,-1.2480637748456003,-1.2758247008451609,1.8231809177439187
3.467746523204968,-1.6463409374410045,1.3693969793249332,-2.602365484812986,-0.7651883885684411,1.3893903111595252,-0.6935165461508829
8.400348051300629,2.8584093832458777,-6.4091625257875044,-1.9667587698852456,-5.007316503450741,-2.174328661935627,1.0965410754995601
-11.231061215992588,4.417899857378439,11.514096342561722,-2.9681121736683154,0.944048726122062,5.341532497262351,0.6077080549840351
-0.01371075943429887,-2.542388897572894,1.676411614139286,0.40533467745591834,1.7365187123942487,-2.617147423553974,0.27916942829794
1.12936339947324,-2.3063427589944268,1.5114565037956658,2.1527980245007563,2.2637794826849875,-1.558042830521824,-0.27651195346352386
-3.653572510984885,-5.4349897551109025,2.4053105868985996,-0.8768059410156928,0.5298872053870812,-1.3784781382081341,-1.552268882004239
9.0956439264039,7.668542620311658,-5.415071350858473,-3.7789458278713233,-6.868651826726125,0.7192674169796393,-0.21457603099947165
4.37539530351341,-1.4120585458622819,-1.1372762968265715,0.6525920258847221,0.5113562781014054,3.712208771070848,-0.26470323518836736
-4.6389738493374795,-4.0836215465451735,1.8943537371227717,-1.2301340548399076,0.1713065825861135,-0.16330024600779008,0.05279744741979093
-4.920298025986874,-1.5078434026229934,-1.495792801595966,-2.4069839716921795,1.3569011533190984,1.0908685502480324,1.9351918992722952
-7.833849579634222,4.612120946035033,-8.359770225986704,-13.292033395582044,12.15598412057328,3.482168827729984,2.4095089078889935
8.951173998556854,3.0423599613642582,-2.794150764952659,-0.9077584457327178,-1.3689631328912109,3.8261390056831304,0.5609545953547377
2.7803831220975543,-3.3382058620726527,-1.908460776208409,-1.833265115656624,-2.188033546290188,-0.3656295166394532,-2.4257230515825525
